TREAT,AGE,EDUC,BLACK,MARR,NODEGREE,RE74,RE75,U74,U75,EARNINGS
0,40,8,0,1,1,50940.9,55500,0,0,53198.2
0,54,0,0,1,1,49228.5,44221,0,0,20540.4
0,47,10,0,1,1,48198,47968.1,0,0,55710.3
0,32,8,0,1,1,47022.4,67137.1,0,0,59109.1
0,47,8,0,1,1,44667.4,33837.1,0,0,38568.7
0,32,10,0,1,1,43103.9,39387.1,0,0,36943.2
0,55,8,0,1,1,43025.5,37972.7,0,0,51580
0,29,10,0,1,1,41144.6,8951.61,0,0,31032.3
0,46,11,0,1,1,39185.3,39387.1,0,0,35465.4
0,48,6,0,1,1,38670,42967.7,0,0,36943.2
0,48,6,0,1,1,38670,42967.7,0,0,36943.2
0,49,8,0,1,1,37226.1,14322.6,0,0,23643.6
0,50,11,0,1,1,36677.5,46548.4,0,0,47287.3
0,55,11,0,1,1,36638.3,37417.7,0,0,32177.5
0,37,10,0,1,1,36246.4,17545.2,0,0,17732.7
0,37,10,0,1,1,36246.4,17545.2,0,0,17732.7
0,50,11,0,1,1,36205.3,38563.5,0,0,31032.3
0,50,11,0,1,1,36205.3,38563.5,0,0,31032.3
0,42,11,0,1,1,35266.8,44758.1,0,0,38420.9
0,31,10,0,1,1,35266.8,35806.5,0,0,44331.8
0,48,10,0,1,1,35266.8,34911.3,0,0,38568.7
0,49,6,0,1,1,35266.8,33121,0,0,26894.6
0,51,9,0,0,1,35266.8,32225.8,0,0,39898.6
0,52,10,0,1,1,35266.8,17187.1,0,0,39159.8
0,31,11,0,1,1,34483.1,35806.5,0,0,36943.2
0,46,11,0,1,1,34287.2,30077.4,0,0,39898.6
0,46,11,0,1,1,34287.2,30077.4,0,0,39898.6
0,35,7,0,1,1,34091.2,28287.1,0,0,25121.4
0,49,8,0,1,1,33699.4,28645.2,0,0,2955.45
0,42,11,0,1,1,33307.5,44758.1,0,0,54675.9
0,38,8,0,1,1,33307.5,35448.4,0,0,33987.7
0,32,10,0,1,1,33307.5,25064.5,0,0,29554.5
0,42,9,0,1,1,33221.3,32225.8,0,0,33987.7
0,42,9,0,1,1,33221.3,32225.8,0,0,33987.7
0,54,11,0,1,1,33158.6,32225.8,0,0,36943.2
0,51,8,0,1,1,33111.6,27750,0,0,32362.2
0,47,11,0,1,1,32719.8,30435.5,0,0,36943.2
0,48,8,0,1,1,31510.9,35795.7,0,0,28076.8
0,48,8,0,1,1,31510.9,35795.7,0,0,28076.8
0,49,8,0,1,1,31348.3,37596.8,0,0,38420.9
0,45,5,0,1,1,31348.3,37596.8,0,0,31477.1
0,52,11,0,1,1,31348.3,33121,0,0,28076.8
0,21,10,0,1,1,31348.3,10741.9,0,0,44331.8
0,37,11,0,1,1,31250.3,26854.8,0,0,36943.2
0,55,11,0,1,1,31048.5,31053.1,0,0,28076.8
0,42,9,0,0,1,30368.6,19693.5,0,0,35465.4
0,38,9,0,1,1,29976.8,25064.5,0,0,47287.3
0,48,9,0,1,1,29389,32225.8,0,0,31032.3
0,33,10,0,1,1,29389,28645.2,0,0,36499.8
0,30,11,0,1,1,29389,26854.8,0,0,36943.2
0,44,10,0,1,1,29389,26854.8,0,0,23643.6
0,40,11,0,1,1,29389,26407.3,0,0,31032.3
0,28,10,0,1,1,29389,23274.2,0,0,22904.8
0,48,9,0,1,1,29389,19693.5,0,0,23052.5
0,37,10,0,1,1,29369.4,27750,0,0,39898.6
0,49,7,0,1,1,29247.9,20767.7,0,0,21341.3
0,46,10,0,1,1,28766,19514.5,0,0,25677
0,36,10,0,1,1,28409.4,28645.2,0,0,39159.8
0,48,8,0,1,1,28409.4,26317.7,0,0,28076.8
0,40,11,0,1,1,28409.4,12532.3,0,0,13299.5
0,55,10,0,1,1,28331,28602.2,0,0,28815.7
0,45,10,0,1,1,28017.5,32225.8,0,0,36943.2
0,42,9,0,1,1,28017.5,23453.2,0,0,26377.4
0,42,9,0,1,1,28017.5,23453.2,0,0,26377.4
0,47,7,0,1,1,27821.6,27929,0,0,28925
0,49,8,0,1,1,27482.6,25064.5,0,0,27337.9
0,50,10,0,1,1,27429.7,32225.8,0,0,33987.7
0,46,11,0,1,1,27429.7,9846.77,0,0,16993.9
0,50,8,0,0,1,27084.9,21125.8,0,0,26599.1
0,46,11,0,1,1,26842,29361.3,0,0,36943.2
0,31,8,0,1,1,26450.1,32225.8,0,0,26953.7
0,42,11,0,1,1,26450.1,22379,0,0,23327.4
0,44,6,0,1,1,26450.1,3580.65,0,0,0
0,48,10,0,0,1,26058.2,26854.8,0,0,33043.4
0,40,8,0,1,1,25862.3,26138.7,0,0,26155.8
0,49,8,0,1,1,25862.3,22916.1,0,0,16255
0,47,8,0,1,1,25707.5,25064.5,0,0,19062.7
0,44,8,0,1,1,25470.5,26854.8,0,0,25860.2
0,51,11,0,1,1,25470.5,25064.5,0,0,26599.1
0,49,11,0,1,1,25470.5,25064.5,0,0,25121.4
0,40,8,0,1,1,25470.5,21483.9,0,0,16255
0,38,9,0,1,1,25470.5,21483.9,0,0,47287.3
0,49,11,0,1,1,25470.5,19693.5,0,0,481.739
0,48,8,0,1,1,25470.5,16112.9,0,0,23643.6
0,44,6,0,1,1,25470.5,7619.61,0,0,11821.8
0,32,9,0,1,1,25470.5,1432.26,0,0,24803.6
0,48,8,0,1,1,25470.5,0,0,1,13299.5
0,49,6,0,1,1,25274.5,21841.9,0,0,29111.2
0,30,11,0,1,1,24882.7,26854.8,0,0,33248.8
0,47,7,0,1,1,24784.7,23811.3,0,0,25860.2
0,32,10,0,1,1,24686.8,27033.9,0,0,22904.8
0,52,9,0,1,1,24628,25064.5,0,0,19210.4
0,54,3,0,1,1,24530,19514.5,0,0,30549
0,28,11,0,1,1,24099,24169.4,0,0,35465.4
0,37,8,0,1,1,24099,22823,0,0,23145.6
0,30,9,0,1,1,23903.1,23900.8,0,0,23791.4
0,48,9,0,1,1,23860,25064.5,0,0,26968.5
0,29,10,0,1,1,23711,26854.8,0,0,13299.5
0,52,11,0,1,1,23568,0,0,1,0
0,30,10,0,1,1,23511.2,28645.2,0,0,28047.3
0,51,8,0,1,1,23511.2,27019.5,0,0,27337.9
0,51,8,0,1,1,23511.2,26407.3,0,0,22165.9
0,51,11,0,1,1,23511.2,25780.6,0,0,27190.2
0,50,8,0,1,1,23511.2,25243.5,0,0,26155.8
0,23,10,0,1,1,23511.2,25064.5,0,0,25121.4
0,24,10,0,1,1,23511.2,25062.7,0,0,29678.7
0,42,9,0,1,1,23511.2,21841.9,0,0,26303.5
0,54,8,0,1,1,23511.2,21483.9,0,0,19210.4
0,30,9,0,1,1,23511.2,19441.1,0,0,26599.1
0,42,8,0,1,1,23511.2,18798.4,0,0,26569.5
0,42,6,0,1,1,23511.2,17903.2,0,0,23643.6
0,42,6,0,1,1,23511.2,17903.2,0,0,23643.6
0,42,6,0,1,1,23511.2,17903.2,0,0,23643.6
0,53,5,0,1,1,23511.2,17903.2,0,0,20215.3
0,28,11,0,1,1,23511.2,5370.97,0,0,21796.5
0,48,10,0,1,1,23511.2,2864.52,0,0,0
0,31,10,0,1,1,23315.3,2467.06,0,0,15220.6
0,47,10,0,1,1,23236.9,17903.2,0,0,35365
0,30,11,0,1,1,23119.3,20051.6,0,0,22018.1
0,32,10,0,1,1,23025.3,21483.9,0,0,33987.7
0,49,9,0,1,1,22727.5,30435.5,0,0,29554.5
0,48,10,0,1,1,22727.5,26854.8,0,0,27042.4
0,49,10,0,1,1,22727.5,23095.2,0,0,24086.9
0,28,9,0,1,1,22727.5,20767.7,0,0,22904.8
0,31,9,0,1,1,22531.6,21483.9,0,0,0
0,48,11,0,1,1,22178.9,19693.5,0,0,16255
0,48,11,0,1,1,22178.9,19693.5,0,0,16255
0,49,5,0,1,1,22041.8,23274.2,0,0,20392.6
0,51,10,0,1,1,21943.8,23274.2,0,0,25860.2
0,51,10,0,1,1,21943.8,23274.2,0,0,25860.2
0,47,10,0,1,1,21943.8,18977.4,0,0,19210.4
0,39,7,0,1,1,21712.6,24065.5,0,0,23643.6
0,43,9,0,1,1,21630.3,11565.5,0,0,11821.8
0,35,10,0,1,1,21583.3,23847.1,0,0,22757
0,49,8,0,0,1,21551.9,36316.7,0,0,44331.8
0,25,8,0,1,1,21551.9,25959.7,0,0,25121.4
0,39,9,0,1,1,21551.9,19693.5,0,0,20688.2
0,55,10,0,1,1,21551.9,19693.5,0,0,14777.3
0,42,10,0,1,1,21551.9,18798.4,0,0,22165.9
0,46,11,0,1,1,21551.9,16112.9,0,0,13299.5
0,37,8,0,1,1,21481.4,14322.6,0,0,23643.6
0,25,10,0,1,1,20964.2,23632.3,0,0,23495.9
0,53,8,0,1,1,20964.2,22033.5,0,0,23195.9
0,46,10,0,1,1,20944.6,21338.9,0,0,21131.5
0,43,11,0,1,1,20629.1,31330.6,0,0,26599.1
0,41,8,0,1,1,20572.3,22379,0,0,19633.1
0,38,11,0,1,1,20572.3,21483.9,0,0,19210.4
0,40,11,0,1,1,20572.3,21483.9,0,0,27485.7
0,36,10,0,1,1,20572.3,17366.1,0,0,14481.7
0,52,5,0,1,1,20572.3,16112.9,0,0,19210.4
0,50,7,0,1,1,20180.4,14322.6,0,0,0
0,48,8,0,1,1,19984.5,21483.9,0,0,19210.4
0,53,10,0,1,1,19984.5,21483.9,0,0,4433.18
